"crate","version","license"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0"
"aho-corasick","1.1.4","Unlicense OR MIT"
"android_system_properties","0.1.5","MIT/Apache-2.0"
"anyhow","1.0.103","MIT OR Apache-2.0"
"async-stream","0.3.6","MIT"
"async-stream-impl","0.3.6","MIT"
"atomic-waker","1.1.2","Apache-2.0 OR MIT"
"autocfg","1.5.1","Apache-2.0 OR MIT"
"axum","0.8.9","MIT"
"axum-core","0.5.6","MIT"
"base64","0.22.1","MIT OR Apache-2.0"
"bcrypt","0.19.1","MIT"
"bitflags","2.13.0","MIT OR Apache-2.0"
"block-buffer","0.10.4","MIT OR Apache-2.0"
"blowfish","0.10.0","MIT OR Apache-2.0"
"bumpalo","3.20.3","MIT OR Apache-2.0"
"byteorder","1.5.0","Unlicense OR MIT"
"bytes","1.11.1","MIT"
"cc","1.2.64","MIT OR Apache-2.0"
"cfg-if","1.0.4","MIT OR Apache-2.0"
"cfg_aliases","0.2.1","MIT"
"chrono","0.4.45","MIT OR Apache-2.0"
"cipher","0.5.2","MIT OR Apache-2.0"
"core-foundation-sys","0.8.7","MIT OR Apache-2.0"
"cpufeatures","0.2.17","MIT OR Apache-2.0"
"crc32fast","1.5.0","MIT OR Apache-2.0"
"crossbeam-deque","0.8.6","MIT OR Apache-2.0"
"crossbeam-epoch","0.9.18","MIT OR Apache-2.0"
"crossbeam-utils","0.8.21","MIT OR Apache-2.0"
"crypto-common","0.1.7","MIT OR Apache-2.0"
"crypto-common","0.2.2","MIT OR Apache-2.0"
"data-encoding","2.11.0","MIT"
"digest","0.10.7","MIT OR Apache-2.0"
"dirs","6.0.0","MIT OR Apache-2.0"
"dirs-sys","0.5.0","MIT OR Apache-2.0"
"displaydoc","0.2.6","MIT OR Apache-2.0"
"either","1.16.0","MIT OR Apache-2.0"
"equivalent","1.0.2","Apache-2.0 OR MIT"
"errno","0.3.14","MIT OR Apache-2.0"
"fallible-iterator","0.3.0","MIT/Apache-2.0"
"fallible-streaming-iterator","0.1.9","MIT/Apache-2.0"
"fastrand","2.4.1","Apache-2.0 OR MIT"
"filetime","0.2.29","MIT/Apache-2.0"
"find-msvc-tools","0.1.9","MIT OR Apache-2.0"
"flate2","1.1.9","MIT OR Apache-2.0"
"foldhash","0.1.5","Zlib"
"form_urlencoded","1.2.2","MIT OR Apache-2.0"
"futures-channel","0.3.32","MIT OR Apache-2.0"
"futures-core","0.3.32","MIT OR Apache-2.0"
"futures-macro","0.3.32","MIT OR Apache-2.0"
"futures-sink","0.3.32","MIT OR Apache-2.0"
"futures-task","0.3.32","MIT OR Apache-2.0"
"futures-util","0.3.32","MIT OR Apache-2.0"
"generic-array","0.14.7","MIT"
"getrandom","0.2.17","MIT OR Apache-2.0"
"getrandom","0.3.4","MIT OR Apache-2.0"
"getrandom","0.4.2","MIT OR Apache-2.0"
"hashbrown","0.15.5","MIT OR Apache-2.0"
"hashbrown","0.17.1","MIT OR Apache-2.0"
"hashlink","0.10.0","MIT OR Apache-2.0"
"heck","0.5.0","MIT OR Apache-2.0"
"hex","0.4.3","MIT OR Apache-2.0"
"http","1.4.2","MIT OR Apache-2.0"
"http-body","1.0.1","MIT"
"http-body-util","0.1.3","MIT"
"http-range-header","0.4.2","MIT"
"httparse","1.10.1","MIT OR Apache-2.0"
"httpdate","1.0.3","MIT OR Apache-2.0"
"hybrid-array","0.4.12","MIT OR Apache-2.0"
"hyper","1.10.1","MIT"
"hyper-rustls","0.27.9","Apache-2.0 OR ISC OR MIT"
"hyper-util","0.1.20","MIT"
"iana-time-zone","0.1.65","MIT OR Apache-2.0"
"iana-time-zone-haiku","0.1.2","MIT OR Apache-2.0"
"icu_collections","2.2.0","Unicode-3.0"
"icu_locale_core","2.2.0","Unicode-3.0"
"icu_normalizer","2.2.0","Unicode-3.0"
"icu_normalizer_data","2.2.0","Unicode-3.0"
"icu_properties","2.2.0","Unicode-3.0"
"icu_properties_data","2.2.0","Unicode-3.0"
"icu_provider","2.2.0","Unicode-3.0"
"id-arena","2.3.0","MIT/Apache-2.0"
"idna","1.1.0","MIT OR Apache-2.0"
"idna_adapter","1.2.2","Apache-2.0 OR MIT"
"indexmap","2.14.0","Apache-2.0 OR MIT"
"inout","0.2.2","MIT OR Apache-2.0"
"ipnet","2.12.0","MIT OR Apache-2.0"
"itoa","1.0.18","MIT OR Apache-2.0"
"js-sys","0.3.102","MIT OR Apache-2.0"
